Dòng máy,Giá,Phiên bản,Tình trạng,Tinh_trang_tong_hop,Xuất xứ,Dung lượng (GB),Tình trạng pin,Pin_bucket,Chính sách bảo hành
Dòng khác,22990000.0,,Mới,Zin không trầy xước,Việt Nam,256.0,99%,97-99%,
Dòng khác,28800000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,98%,97-99%,7-12 tháng
Dòng khác,33900000.0,Quốc tế (Không khoá mạng),Mới,Zin không trầy xước,Việt Nam,256.0,100%,100%,7-12 tháng
Dòng khác,31490000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,96%,95-96%,
Dòng khác,31490000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,93%,90-94%,
Dòng khác,21500000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Trung Quốc,256.0,100%,100%,4-6 tháng
Dòng khác,22000000.0,,Mới,Zin không trầy xước,Không rõ,256.0,100%,100%,
Dòng khác,16000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,98%,97-99%,>12 tháng
Dòng khác,22000000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,256.0,99%,97-99%,
Dòng khác,35500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),256.0,100%,100%,>12 tháng
Dòng khác,15900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),256.0,98%,97-99%,7-12 tháng
Dòng khác,33490000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),256.0,97%,97-99%,Còn bảo hành
Dòng khác,40000000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,1024.0,98%,97-99%,
Dòng khác,30500000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,99%,97-99%,>12 tháng
Dòng khác,39900000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,512.0,98%,97-99%,7-12 tháng
Dòng khác,19900000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,256.0,100%,100%,
iPhone 11,3499999.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Việt Nam,64.0,92%,90-94%,
iPhone 11,4000000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Chính hãng VN (VNA),128.0,84%,80-84%,
iPhone 11,2800000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Màn thay,,128.0,92%,90-94%,
iPhone 11,3500000.0,Quốc tế (Không khoá mạng),Đã sửa chữa / thay linh kiện,Đã sửa chữa,Trung Quốc,128.0,88%,85-89%,Hết bảo hành
iPhone 11,4200000.0,Quốc tế (Không khoá mạng),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),128.0,81%,80-84%,Còn bảo hành
iPhone 11,2000000.0,,Đã sử dụng (chưa sửa chữa),Đã sửa chữa,Mỹ (LL/A),64.0,96%,95-96%,
iPhone 11,2400000.0,Khóa mạng (Lock),Đã sử dụng (chưa sửa chữa),Đã sửa chữa,,64.0,96%,95-96%,
