Tiêu đề,Tình trạng,Dòng máy,Phiên bản,Xuất xứ,Màu sắc,Dung lượng,Chính sách bảo hành,Giá,Tình trạng pin,Ngoại hình,Độ zin,ID tin,Link,Mô tả chi tiết,Phiên bản (Source),Xuất xứ (Source),Màu sắc (Source),Dung lượng (Source),Chính sách bảo hành (Source),Tình trạng pin (Source),Ngoại hình (Title),Ngoại hình (Detail),Ngoại hình (Conflict),Độ zin (Title),Độ zin (Detail),Độ zin (Conflict)
iPhone 12 Pro 256GB Xanh 99%,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,Quốc tế (Không khoá mạng),Đài Loan,Xám / Space Gray,512 GB,null,9000000,99%,99%,null,132228615,https://www.chotot.com/132228615.htm,Nhà dư cần bán điện thoại iPhone 12 Pro 256GB màu xanh.  New 99% ko trầy xước Máy Đức nên rất tốt chưa bh bị dựt lág  Dung luong lớn 512gb tha hồ xài,P,P,P,P,FALSE,FALSE,99%,99%,FALSE,,,FALSE
Apple iPhone 15 128GB Xanh LL/A,Đã sử dụng (chưa sửa chữa),iPhone 15,Quốc tế (Không khoá mạng),Mỹ (LL/A),Xám / Space Gray,128 GB,Còn bảo hành,12300000,null,null,Zin nguyên bản,132228588,https://www.chotot.com/132228588.htm,"IPHONE 15 XANH DƯƠNG NHẠT  128GB bản LL/A (Mỹ)  Hàng lướt máy mới (Đã qua sử dụng)  Máy zin chưa thay gì  Cần lên đời máy, pass lại cho người dùng  Có fix nếu thiện chí  TPHCM",P,P,P,P,P,FALSE,,,FALSE,,Zin nguyên bản,FALSE
Apple iPhone 15 pro 128G sạc 3 lần chưa dùng,Mới,iPhone 15 Pro,Quốc tế (Không khoá mạng),Trung Quốc,Xám / Space Gray,128 GB,Hết bảo hành,15990000,100%,null,"Zin nguyên bản, Zin áp suất, Ốc zin",132032341,https://www.chotot.com/132032341.htm,"Iphone 15 Pro 128G sạc 3 lần duy trì chưa sử dụng. Date sản xuất cực cao tháng 4/2026. Quốc tế thị trường Hàn Quốc, dùng 2 sim: 1 khay sim cứng + 1 esim.  Không giới hạn bất kỳ tính năng nào, dùng như hàng chính hãng. Ốc đích chưa bung, zin áp suất 🎗️ Chuẩn zin Apple đẹp như khui hộp 🎗️ Hoàn hảo 💯% mọi tính năng ko lỗi  💁 Góp Cccd đưa trước 30% Nợ xấu đưa 55%",P,P,P,P,P,FALSE,,,FALSE,,"Zin nguyên bản, Zin áp suất, Ốc zin",FALSE
iPhone 14 Pro 128GB Vàng Đã sử dụng,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),Mỹ (LL/A),Vàng,128 GB,null,10800000,85%,null,"Main zin, Màn zin",132228564,https://www.chotot.com/132228564.htm,"14 pro 128gb LL/A pin 85% màn zin , main zin sườn 98 full chức năng",P,FALSE,P,P,FALSE,FALSE,,,FALSE,,"Main zin, Màn zin",FALSE
iPhone 12 Pro Max 128GB Xanh,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,Khóa mạng (Lock),null,Xám / Space Gray,128 GB,1 tháng,7300000,85%,98%,Zin all,131901308,https://www.chotot.com/131901308.htm,12 Pro Max 128Gb Lock Độ ổ EiD lắp sim là sài  Máy zin all ko thay thế linh kiện - Pin zin 85% Face nhạy - Reset thoải mái - Sườn nhâm (98%) Bao test 7 ngày Bh 1 tháng,FALSE,FALSE,P,P,FALSE,FALSE,,98%,FALSE,,Zin all,FALSE
iPhone 13 Pro Max 128G màn chưa fix pin 100%,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,null,null,Xanh lá,128 GB,null,7800000,100%,null,"Zin nguyên bản, Pin thay",132228545,https://www.chotot.com/132228545.htm,Iphone 13promax 128gb nguyên zin  Màn chưa fix pin thay mới 100% Bao nguyên zin retore tại chỗ,FALSE,FALSE,P,P,FALSE,FALSE,,,FALSE,,"Zin nguyên bản, Pin thay",FALSE
Apple iPhone 14 Pro 256GB Vàng Đã dùng,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),Mỹ (LL/A),Vàng,256 GB,null,8890000,null,null,"Zin nguyên bản, Màn thay",132207620,https://www.chotot.com/132207620.htm,14Pro quốc tế ll/a  256Gb Ngoại hình 98.5  Máy nguyên zin  Màn thay như zin có 120hz,P,FALSE,P,P,FALSE,FALSE,,,FALSE,,"Zin nguyên bản, Màn thay",FALSE
iPhone 14 Pro 256GB,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),null,null,256 GB,null,12900000,null,null,null,132228466,https://www.chotot.com/132228466.htm,14 pro 256 full chức năng ngoại hình đẹp cần bán,P,FALSE,FALSE,P,FALSE,FALSE,,,FALSE,,,FALSE
cần bán 12pro,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,null,null,Trắng,128 GB,null,6000000,null,null,Zin all,132228423,https://www.chotot.com/132228423.htm,Cần bán 12pro trắng 128gb  full zin  do mình lên  đời,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,Zin all,FALSE
Apple iPhone 13 Pro 256GB Xám VNA,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro,Quốc tế (Không khoá mạng),Việt Nam,Cam,256 GB,Hết bảo hành,10000000,81%,null,"Zin nguyên bản, Pin zin",132228418,https://www.chotot.com/132228418.htm,"Lên đời bán Iphone 13 pro 256 hàng VNA fullbox, 1 chủ dùng từ mới nguyên bản chưa sửa chữa thay thế gì. Pin zin 81%,",P,P,P,P,P,FALSE,,,FALSE,,"Zin nguyên bản, Pin zin",FALSE
Apple iPhone 12 Pro Max 128GB Vàng Đã sử dụng,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,null,null,Vàng,128 GB,null,6000000,null,null,Ép kính,132096585,https://www.chotot.com/132096585.htm,"Iphone 12 pro max zin màn ép kính đóm tí ti bao không loang, face id nhạy báo chính hãng như hình, nhận giao lưu.",FALSE,FALSE,P,P,FALSE,FALSE,,,FALSE,,Ép kính,FALSE
Apple iPhone 15 Plus 128GB lock,Đã sử dụng (chưa sửa chữa),iPhone 15 Plus,Khóa mạng (Lock),Mỹ (LL/A),Trắng,128 GB,null,10490000,83%,null,null,132228358,https://www.chotot.com/132228358.htm,"🍀15 plus lock 128g đẹp pin 83% ghép eid full sóng 🍀AT Mobile🍀Trao đổi-Mua bán🍀lock-sim ghép🍀 ------------- 🏠 AT Mobile 📮Cách bến xe tỉnh kiên giang 500m,huyện châu thành, kiên Giang ☎️ hotline: ***",FALSE,P,P,P,FALSE,FALSE,,,FALSE,,,FALSE
iPhone 16 Pro gold 256GB bán/trao đổi,Đã sử dụng (chưa sửa chữa),iPhone 16 Pro,Quốc tế (Không khoá mạng),Trung Quốc,Vàng,256 GB,Hết bảo hành,19800000,Pin khỏe,null,Zin nguyên bản,131807927,https://www.chotot.com/131807927.htm,"Mình có em iphone 16 Pro gold 256GB bản quốc tế (vật lý + esim) muốn bán hoặc trao đổi. Hình thức khá đẹp, màn đẹp, pin khỏe. Máy đúng nghĩa nguyên bản, mọi tính năng ổn định và hoàn hảo, dùng cực kỳ yên tâm. Thông tin mình rao chuẩn chỉ, không muốn mất công đôi bên. Giao dịch nhà mình cho yên tâm, lỗi xin hoàn đủ tiền. Thanks",P,P,P,P,P,FALSE,,,FALSE,,Zin nguyên bản,FALSE
iPhone 13 Pro Max 256GB Xám VN/A nguyên zin pin 77,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,Quốc tế (Không khoá mạng),Việt Nam,Xanh lá,256 GB,null,8500000,77%,null,null,132200455,https://www.chotot.com/132200455.htm,13promax 256g Việt Nam vn/a Pin zin 77% máy nguyên zin  Màn zin có fix rồi 120hz Máy đẹp 98-99%,FALSE,P,P,P,FALSE,FALSE,,,FALSE,Zin nguyên bản,"Zin nguyên bản, Màn zin, Pin zin",TRUE
Apple iPhone 11 64GB Hồng,Đã sử dụng (chưa sửa chữa),iPhone 11,null,Việt Nam,Đen,64 GB,null,3499999,null,null,null,132228333,https://www.chotot.com/132228333.htm,Iphone 11 64G zin ken giá bán nhanh 3.499.999 k mua nhanh kẻo hết. Free ship bao chek máy,FALSE,P,P,P,FALSE,FALSE,,,FALSE,,,FALSE
iPhone 15 Pro Max 256GB Xanh 99%,Đã sử dụng (chưa sửa chữa),iPhone 15 Pro Max,null,Việt Nam,Xám / Space Gray,256 GB,null,17500000,null,99%,null,132228326,https://www.chotot.com/132228326.htm,Em o Binh duong e cần bán em này ip 15 pro max 256 sim vat ly mau xanh ZA 99% dùng ốp k à nên k trày xướt gì . Pin hơi kém xíu . 17tr5,FALSE,P,P,P,FALSE,FALSE,99%,99%,FALSE,,,FALSE
