Tiêu đề,Loại người bán,Tình trạng,Dòng máy,Phiên bản,Xuất xứ,Màu sắc,Dung lượng,Chính sách bảo hành,Giá,Tình trạng pin,Ngoại hình,Độ zin,ID tin,Link,Ngày đăng,Địa chỉ,Mô tả chi tiết,Scraped at
iPhone 12 Pro 256GB Xanh 99%,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,Quốc tế (Không khoá mạng),Đài Loan,Xám / Space Gray,512 GB,null,9000000,null,null,null,132228615,https://www.chotot.com/132228615.htm,42 giây trước,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",Nhà dư cần bán điện thoại iPhone 12 Pro 256GB màu xanh.  New 99% ko trầy xước Máy Đức nên rất tốt chưa bh bị dựt lág  Dung luong lớn 512gb tha hồ xài,2026-05-06 22:30:31
Apple iPhone 15 128GB Xanh LL/A,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 15,Quốc tế (Không khoá mạng),Mỹ (LL/A),Xám / Space Gray,128 GB,Còn bảo hành,12300000,null,null,null,132228588,https://www.chotot.com/132228588.htm,4 phút trước,"Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","IPHONE 15 XANH DƯƠNG NHẠT  128GB bản LL/A (Mỹ)  Hàng lướt máy mới (Đã qua sử dụng)  Máy zin chưa thay gì  Cần lên đời máy, pass lại cho người dùng  Có fix nếu thiện chí  TPHCM",2026-05-06 22:30:31
Apple iPhone 15 pro 128G sạc 3 lần chưa dùng,Bán chuyên,Mới,iPhone 15 Pro,Quốc tế (Không khoá mạng),Trung Quốc,Xám / Space Gray,128 GB,Hết bảo hành,15990000,null,null,null,132032341,https://www.chotot.com/132032341.htm,4 phút trước,"Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu","Iphone 15 Pro 128G sạc 3 lần duy trì chưa sử dụng. Date sản xuất cực cao tháng 4/2026. Quốc tế thị trường Hàn Quốc, dùng 2 sim: 1 khay sim cứng + 1 esim.  Không giới hạn bất kỳ tính năng nào, dùng như hàng chính hãng. Ốc đích chưa bung, zin áp suất 🎗️ Chuẩn zin Apple đẹp như khui hộp 🎗️ Hoàn hảo 💯% mọi tính năng ko lỗi  💁 Góp Cccd đưa trước 30% Nợ xấu đưa 55%",2026-05-06 22:30:31
iPhone 14 Pro 128GB Vàng Đã sử dụng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),null,Vàng,128 GB,null,10800000,null,null,null,132228564,https://www.chotot.com/132228564.htm,7 phút trước,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","14 pro 128gb LL/A pin 85% màn zin , main zin sườn 98 full chức năng",2026-05-06 22:30:31
iPhone 12 Pro Max 128GB Xanh,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,null,null,Xám / Space Gray,128 GB,null,7300000,null,null,null,131901308,https://www.chotot.com/131901308.htm,9 phút trước,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",12 Pro Max 128Gb Lock Độ ổ EiD lắp sim là sài  Máy zin all ko thay thế linh kiện - Pin zin 85% Face nhạy - Reset thoải mái - Sườn nhâm (98%) Bao test 7 ngày Bh 1 tháng,2026-05-06 22:30:32
iPhone 13 Pro Max 128G màn chưa fix pin 100%,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,null,null,Xanh lá,128 GB,null,7800000,null,null,null,132228545,https://www.chotot.com/132228545.htm,9 phút trước,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Iphone 13promax 128gb nguyên zin  Màn chưa fix pin thay mới 100% Bao nguyên zin retore tại chỗ,2026-05-06 22:30:32
Apple iPhone 14 Pro 256GB Vàng Đã dùng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),null,Vàng,256 GB,null,8890000,null,null,null,132207620,https://www.chotot.com/132207620.htm,15 phút trước,"Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",14Pro quốc tế ll/a  256Gb Ngoại hình 98.5  Máy nguyên zin  Màn thay như zin có 120hz,2026-05-06 22:30:32
iPhone 14 Pro 256GB,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),null,null,256 GB,null,12900000,null,null,null,132228466,https://www.chotot.com/132228466.htm,17 phút trước,"Xã Tiến Hưng, Thành phố Đồng Xoài, Bình Phước",14 pro 256 full chức năng ngoại hình đẹp cần bán,2026-05-06 22:30:32
cần bán 12pro,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,null,null,null,null,null,6000000,null,null,null,132228423,https://www.chotot.com/132228423.htm,20 phút trước,"Xã Bàu Cạn, Huyện Long Thành, Đồng Nai",Cần bán 12pro trắng 128gb  full zin  do mình lên  đời,2026-05-06 22:30:32
Apple iPhone 13 Pro 256GB Xám VNA,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro,Quốc tế (Không khoá mạng),Việt Nam,Cam,256 GB,Hết bảo hành,10000000,null,null,null,132228418,https://www.chotot.com/132228418.htm,20 phút trước,"Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội","Lên đời bán Iphone 13 pro 256 hàng VNA fullbox, 1 chủ dùng từ mới nguyên bản chưa sửa chữa thay thế gì. Pin zin 81%,",2026-05-06 22:30:33
